Timestamp,Arena1_ADC,Arena2_ADC,Arena3_ADC,Arena4_ADC,Arena5_ADC,Arena6_ADC,Arena7_ADC,Arena8_ADC,Arena9_ADC,Arena10_ADC,Arena11_ADC,Arena12_ADC,Arena13_ADC,Arena14_ADC,Arena15_ADC,Arena16_ADC,Arena1_LeftCount,Arena1_RightCount,Arena1_TotalCount,Arena1_Preference,Arena2_LeftCount,Arena2_RightCount,Arena2_TotalCount,Arena2_Preference,Arena3_LeftCount,Arena3_RightCount,Arena3_TotalCount,Arena3_Preference,Arena4_LeftCount,Arena4_RightCount,Arena4_TotalCount,Arena4_Preference,Arena5_LeftCount,Arena5_RightCount,Arena5_TotalCount,Arena5_Preference,Arena6_LeftCount,Arena6_RightCount,Arena6_TotalCount,Arena6_Preference,Arena7_LeftCount,Arena7_RightCount,Arena7_TotalCount,Arena7_Preference,Arena8_LeftCount,Arena8_RightCount,Arena8_TotalCount,Arena8_Preference,Arena9_LeftCount,Arena9_RightCount,Arena9_TotalCount,Arena9_Preference,Arena10_LeftCount,Arena10_RightCount,Arena10_TotalCount,Arena10_Preference,Arena11_LeftCount,Arena11_RightCount,Arena11_TotalCount,Arena11_Preference,Arena12_LeftCount,Arena12_RightCount,Arena12_TotalCount,Arena12_Preference,Arena13_LeftCount,Arena13_RightCount,Arena13_TotalCount,Arena13_Preference,Arena14_LeftCount,Arena14_RightCount,Arena14_TotalCount,Arena14_Preference,Arena15_LeftCount,Arena15_RightCount,Arena15_TotalCount,Arena15_Preference,Arena16_LeftCount,Arena16_RightCount,Arena16_TotalCount,Arena16_Preference
2025-02-09T20:44:26.446632,12172.861380739872,10820.155378247064,12941.854528092568,13867.427408416846,12291.068455382328,14985.638222777397,11093.102613057734,28550.61558727415,10092.216205422095,10260.360265833795,21967.732377801294,29835.391207728902,11892.777099903939,12588.046365887381,29746.261753614996,12290.370046320386,9,16,25,-0.280,7,16,23,-0.391,16,16,32,0.000,17,9,26,0.308,8,12,20,-0.200,9,15,24,-0.250,9,14,23,-0.217,10,19,29,-0.310,14,11,25,0.120,15,13,28,0.071,15,9,24,0.250,11,14,25,-0.120,11,9,20,0.100,16,8,24,0.333,12,10,22,0.091,11,9,20,0.100
2025-02-09T20:44:26.446844,13209.175001217147,13570.373219638466,13674.626782536245,11038.0694758604,23317.760788972257,14305.542290049993,24889.703782542798,13860.550600268301,13858.41052589602,13695.350044731575,11902.553401320249,14502.826621523902,11704.764791248648,12939.949677586312,14053.29134527478,13845.694324272654,9,16,25,-0.280,7,16,23,-0.391,16,16,32,0.000,17,9,26,0.308,9,12,21,-0.143,9,15,24,-0.250,10,14,24,-0.167,10,19,29,-0.310,14,11,25,0.120,15,13,28,0.071,15,9,24,0.250,11,14,25,-0.120,11,9,20,0.100,16,8,24,0.333,12,10,22,0.091,11,9,20,0.100
2025-02-09T20:44:26.446920,11339.07756097643,12809.535927979923,10979.593649935265,24462.081639231474,10981.483270903931,11156.626526849832,10971.281326718721,11326.454842127494,11475.877767619335,12082.176559530537,12261.241608723336,10592.428858853136,28589.778915557985,12907.497704614361,10495.175127459286,28119.965239344474,9,16,25,-0.280,7,16,23,-0.391,16,16,32,0.000,18,9,27,0.333,9,12,21,-0.143,9,15,24,-0.250,10,14,24,-0.167,10,19,29,-0.310,14,11,25,0.120,15,13,28,0.071,15,9,24,0.250,11,14,25,-0.120,11,10,21,0.048,16,8,24,0.333,12,10,22,0.091,11,10,21,0.048
2025-02-09T20:44:26.446992,10597.515163588747,13187.182625665031,14159.669932640387,24577.07704057301,12538.973176055117,29585.966453942438,21289.285410429813,28195.525668732997,29651.41781647826,23103.317566145088,14506.331281899907,29712.029518379728,14954.887159720423,28262.218670800128,12141.216234681144,28115.392729947325,9,16,25,-0.280,7,16,23,-0.391,16,16,32,0.000,18,9,27,0.333,9,12,21,-0.143,9,16,25,-0.280,11,14,25,-0.120,10,20,30,-0.333,14,12,26,0.077,16,13,29,0.103,15,9,24,0.250,11,15,26,-0.154,11,10,21,0.048,16,9,25,0.280,12,10,22,0.091,11,10,21,0.048
2025-02-09T20:44:26.447061,10656.159107954849,10484.020284392524,10975.950971106115,14964.144718572315,11213.481466396628,11345.32226135654,23661.369689238047,28150.833228970754,12896.64232962695,12567.1107680319,11853.116887753788,11561.667026224106,11633.304930186785,11212.835872505104,28888.149671880456,13811.717339964413,9,16,25,-0.280,7,16,23,-0.391,16,16,32,0.000,18,9,27,0.333,9,12,21,-0.143,9,16,25,-0.280,11,14,25,-0.120,10,20,30,-0.333,14,12,26,0.077,16,13,29,0.103,15,9,24,0.250,11,15,26,-0.154,11,10,21,0.048,16,9,25,0.280,12,11,23,0.043,11,10,21,0.048
2025-02-09T20:44:26.447124,12179.970305511175,11957.167421982318,10596.129893739277,12017.331207547652,14720.425885956174,10027.344155306497,12943.075222742445,13205.944694414762,12943.203909475937,12719.945318037167,28298.061416247037,14750.848408552869,13241.457258544693,10470.452465444718,10608.813195148065,28284.131531060797,9,16,25,-0.280,7,16,23,-0.391,16,16,32,0.000,18,9,27,0.333,9,12,21,-0.143,9,16,25,-0.280,11,14,25,-0.120,10,20,30,-0.333,14,12,26,0.077,16,13,29,0.103,15,10,25,0.200,11,15,26,-0.154,11,10,21,0.048,16,9,25,0.280,12,11,23,0.043,11,11,22,0.000
2025-02-09T20:44:26.447188,29885.563025498213,11513.67617718946,11769.569104593926,14793.451204146895,11613.440004220252,12860.929185548459,23769.96072444924,24015.456288094814,14951.177883154092,11693.885180638905,13858.214023970364,11046.101665851997,12106.687468168331,12120.221273916364,13545.74890501157,14079.694724736926,9,17,26,-0.308,7,16,23,-0.391,16,16,32,0.000,18,9,27,0.333,9,12,21,-0.143,9,16,25,-0.280,12,14,26,-0.077,11,20,31,-0.290,14,12,26,0.077,16,13,29,0.103,15,10,25,0.200,11,15,26,-0.154,11,10,21,0.048,16,9,25,0.280,12,11,23,0.043,11,11,22,0.000
2025-02-09T20:44:26.447253,14408.545743269882,13585.484155981641,28760.308573704286,28924.13137639318,11950.105918640389,28219.635203951897,12754.720236270696,11560.972147973289,11257.805736945955,24110.26007790382,14113.352144179771,14091.157228467999,11466.928769942408,10517.848883034128,11940.316586603665,13172.605850294283,9,17,26,-0.308,7,16,23,-0.391,16,17,33,-0.030,18,10,28,0.286,9,12,21,-0.143,9,17,26,-0.308,12,14,26,-0.077,11,20,31,-0.290,14,12,26,0.077,17,13,30,0.133,15,10,25,0.200,11,15,26,-0.154,11,10,21,0.048,16,9,25,0.280,12,11,23,0.043,11,11,22,0.000
2025-02-09T20:44:26.447323,29227.795468561133,14023.74153016671,29191.997095338873,12069.045010061278,29966.467497654303,10906.113551196377,11231.598096403195,28987.498835637452,21714.730837038816,28490.397476171987,11739.150228518105,12895.429919034834,14125.199015516784,24571.201025847193,11512.134526621801,24203.399794895264,9,18,27,-0.333,7,16,23,-0.391,16,17,33,-0.030,18,10,28,0.286,9,13,22,-0.182,9,17,26,-0.308,12,14,26,-0.077,11,21,32,-0.312,15,12,27,0.111,17,13,30,0.133,15,10,25,0.200,11,15,26,-0.154,11,10,21,0.048,17,9,26,0.308,12,11,23,0.043,12,11,23,0.043
2025-02-09T20:44:26.447391,23912.92777847204,13667.28587584754,14489.6014954623,24571.922828613762,28142.528864642605,10075.988484356156,11870.074733437306,12191.44821936859,14794.927947252128,14993.783410821716,11573.061534831259,11588.220939683022,29066.796127093185,13851.384020050658,13083.984288188529,28888.724199014156,9,18,27,-0.333,7,16,23,-0.391,16,17,33,-0.030,19,10,29,0.310,9,13,22,-0.182,9,17,26,-0.308,12,14,26,-0.077,11,21,32,-0.312,15,12,27,0.111,17,13,30,0.133,15,10,25,0.200,11,15,26,-0.154,11,11,22,0.000,17,9,26,0.308,12,11,23,0.043,12,11,23,0.043
2025-02-09T20:44:26.447456,22330.689177718985,14416.99043934788,11696.844635152798,24085.191578489997,23393.831026309377,11666.086896793024,11243.74669184697,21381.42500104488,12683.86764321991,23903.978983370995,23036.51771775666,29658.370073867154,12954.081058061525,10827.947959574922,12023.132202745142,23093.787480102532,9,18,27,-0.333,7,16,23,-0.391,16,17,33,-0.030,19,10,29,0.310,9,13,22,-0.182,9,17,26,-0.308,12,14,26,-0.077,12,21,33,-0.273,15,12,27,0.111,18,13,31,0.161,16,10,26,0.231,11,16,27,-0.185,11,11,22,0.000,17,9,26,0.308,12,11,23,0.043,12,11,23,0.043
2025-02-09T20:44:26.447521,13160.571218773835,10410.060524768794,10255.991063555393,28084.285938737354,24810.909046951798,29230.32662932891,13708.710540558292,14670.241798617102,23200.21788167394,12403.086719659977,10744.80230089014,14415.59878010993,12516.308640138017,23882.354483056897,14658.00901329766,12490.033351353804,9,18,27,-0.333,7,16,23,-0.391,16,17,33,-0.030,19,10,29,0.310,9,13,22,-0.182,9,18,27,-0.333,12,14,26,-0.077,12,21,33,-0.273,16,12,28,0.143,18,13,31,0.161,16,10,26,0.231,11,16,27,-0.185,11,11,22,0.000,18,9,27,0.333,12,11,23,0.043,12,11,23,0.043
2025-02-09T20:44:26.447584,10720.457848095199,28220.784421819582,22959.14530279793,13475.834998932634,28740.025235840905,29781.468454570815,28561.8637273524,12901.225482343936,28438.152906729967,13956.68353838463,11420.53152698536,29531.689466673983,21567.0248580048,10915.028717203826,12449.904773702883,13612.855673676688,9,18,27,-0.333,7,17,24,-0.417,17,17,34,0.000,19,10,29,0.310,9,13,22,-0.182,9,18,27,-0.333,12,15,27,-0.111,12,21,33,-0.273,16,12,28,0.143,18,13,31,0.161,16,10,26,0.231,11,17,28,-0.214,12,11,23,0.043,18,9,27,0.333,12,11,23,0.043,12,11,23,0.043
2025-02-09T20:44:26.447954,11543.19605697465,14989.581537799273,14077.34564907829,10006.764903463833,23683.298316673157,13794.762712952455,12269.98681438583,10784.12916719477,21534.94055374291,14910.954326098185,23722.205971162726,28529.15923694677,10284.691940042761,14360.604306815312,11394.127006670713,29537.15707223607,9,18,27,-0.333,7,17,24,-0.417,17,17,34,0.000,19,10,29,0.310,9,13,22,-0.182,9,18,27,-0.333,12,15,27,-0.111,12,21,33,-0.273,16,12,28,0.143,18,13,31,0.161,17,10,27,0.259,11,17,28,-0.214,12,11,23,0.043,18,9,27,0.333,12,11,23,0.043,12,12,24,0.000
2025-02-09T20:44:26.448034,11315.248279297739,29575.02845624066,10150.65542870646,13200.70484045764,11195.614176215371,14410.502014958958,14706.711968019705,14057.47352230573,14714.338617936515,13952.5093668958,28486.612793438933,22542.14961747491,10361.52264212927,11260.57046046746,13269.652748114559,10074.27601299611,9,18,27,-0.333,7,18,25,-0.440,17,17,34,0.000,19,10,29,0.310,9,13,22,-0.182,9,18,27,-0.333,12,15,27,-0.111,12,21,33,-0.273,16,12,28,0.143,18,13,31,0.161,17,10,27,0.259,11,17,28,-0.214,12,11,23,0.043,18,9,27,0.333,12,11,23,0.043,12,12,24,0.000
2025-02-09T20:44:26.448097,29265.590209980277,12868.465480662107,14436.020311280514,28084.29971967611,13242.557553579922,21632.796210911943,22233.19568846178,22492.2980860492,13226.49476080463,14651.375358613936,11656.815775197116,10631.516891190005,10696.936836310662,12662.65139415493,22227.504551868882,13701.203948127579,9,19,28,-0.357,7,18,25,-0.440,17,17,34,0.000,19,11,30,0.267,9,13,22,-0.182,10,18,28,-0.286,13,15,28,-0.071,13,21,34,-0.235,16,12,28,0.143,18,13,31,0.161,17,10,27,0.259,11,17,28,-0.214,12,11,23,0.043,18,9,27,0.333,13,11,24,0.083,12,12,24,0.000
2025-02-09T20:44:26.448159,14270.59951830978,11903.3339029483,21928.93671549505,12578.589931970771,13439.435554669326,13464.17163976931,13347.754983764517,11635.913086291643,23416.016167949834,13441.510207529267,13500.181724978378,13563.846064106518,23565.02616230779,10873.917357316759,11910.153924949756,13964.738066437947,9,19,28,-0.357,7,18,25,-0.440,18,17,35,0.029,19,11,30,0.267,9,13,22,-0.182,10,18,28,-0.286,13,15,28,-0.071,13,21,34,-0.235,17,12,29,0.172,18,13,31,0.161,17,10,27,0.259,11,17,28,-0.214,13,11,24,0.083,18,9,27,0.333,13,11,24,0.083,12,12,24,0.000
