Timestamp,Arena1,Arena2,Arena3,Arena4,Arena5,Arena6,Arena7,Arena8,Arena9,Arena10,Arena11,Arena12,Arena13,Arena14,Arena15,Arena16
2025-02-09T19:05:23.344523,11266.409407950916,24449.345427856133,14198.295417547954,11617.673194924819,13436.053826876705,13617.915935968396,11069.164395845422,12020.744298068239,11681.588877319784,12584.722473018674,14452.202218402803,13656.089561753688,24542.7525080291,10129.084327519551,28623.325937165722,22510.46519673922
2025-02-09T19:05:23.344695,13915.878094655745,29110.862849277495,10716.844333792093,21666.284473178264,11838.075026078159,14585.86514926692,10918.970836128443,14823.797456762704,21141.370958189018,10754.674715711422,13968.594049720556,14262.110631928468,13932.379533586249,13025.311475642618,14108.47989309574,10828.34727638988
2025-02-09T19:05:23.439993,12248.828825774039,23868.359626345544,28108.477413756165,14086.073249516969,10879.744747703306,21518.799376883086,13328.9405428363,13064.127181144162,10552.68010869751,14888.95890755775,13297.961348220439,12399.503056447895,13508.281073614226,10128.956540601544,10463.074132253656,10497.853957607143
2025-02-09T19:05:23.535089,10795.439940666722,29505.50316702976,12004.83880020797,12720.640745588953,13269.974555209885,12952.364834723901,12071.422109468436,14715.412265472023,13014.296381871422,22341.755747831896,21417.75273531985,28116.99974719392,14435.105407502127,28752.860665109238,13230.482458978577,13822.03272379948
2025-02-09T19:05:23.629708,23811.833194372703,13943.107199076183,11370.452309779297,12655.841849237935,14730.364170896462,28305.546654470527,12335.817508532566,14866.742829698562,22757.811163130777,14177.715591146123,24830.547451585386,11804.239415501173,23168.980129150244,14218.037955510408,12415.720189980111,28844.78363500691
2025-02-09T19:05:23.724014,21500.420536664024,10539.956668728017,11289.761232637424,14607.300433564786,14949.246341686774,28221.430749227005,14673.49738260046,13450.577884607144,28905.877913955424,24455.77536805489,11945.518395134657,23642.717392014616,11507.48189691186,24842.437291308543,14267.815398922481,14539.200432757636
2025-02-09T19:05:23.819335,13361.739713436818,22379.607695078565,23436.225338400385,12991.287786895706,11650.22305797364,11979.116742160435,11499.020471063675,14007.161865953844,12925.118893158575,14608.72299623664,23431.578653370227,13450.860580304641,10350.515034220534,24244.23370909531,12499.396081469395,29420.651472501206
2025-02-09T19:05:23.915104,23515.1926497529,11078.713600356918,12075.28273548141,29894.344852086197,28759.62264358354,10384.372424517489,28547.85312985228,29804.066992572556,11940.946161883061,12374.628720407738,10148.467968278173,28291.40867148687,22096.546829180174,12615.238476230514,12924.04977655028,14877.609448143467
2025-02-09T19:05:24.012223,10072.881503273882,10600.68488155661,14470.182484701494,10436.760146887902,14749.830230505011,12992.582738345902,11632.091615275305,29173.187987041918,12366.292730021203,23524.400685362092,13218.354999242787,29279.382329311207,14292.20425330559,10966.058458922613,12460.68660545763,11981.596898937585
2025-02-09T19:05:24.112307,13603.534361595208,11144.777802251445,11088.62104794092,21301.869266972782,12393.22093203131,21818.823817660505,12870.06518686944,13503.41331541065,10546.520264421513,10428.519624597015,12093.043154222247,10179.802523715309,23704.193690330576,12987.460796489224,22920.551191070525,12525.568474204198
2025-02-09T19:05:24.211023,12549.345783176172,22129.134584245785,28614.17398359159,29224.35314822185,14188.158845162765,10283.087573766821,23942.200660885406,14178.856682292902,29962.438870247486,28086.284302550128,12161.64018061032,23794.03361067768,13788.096097739464,10111.615658377226,12969.736021168363,24021.29358633548
2025-02-09T19:05:24.311067,28221.362538492296,14899.292025365306,12011.064450588892,10969.27456352387,14921.370923075014,13367.868321873199,11294.255725589688,13036.519414962677,12679.424013372956,13667.879069644214,11923.03374653383,21676.056077864414,11073.711334602107,14171.975884534322,12130.174655586072,13819.674316558967
2025-02-09T19:05:24.411000,10064.639362591975,29325.264940616187,11053.585024937365,21139.525869719444,28110.099674741145,11701.199533459067,13802.64233817944,13103.006808638813,10527.374852502586,11907.869096125241,12690.372519286062,24860.819020258547,24437.532987640923,12102.877475859208,14085.673360576366,28644.75195974641
